23:18:30.673 [main] INFO  main.java.client.Client - Começou!
23:18:31.305 [Thread-74] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=7500.0 Result= 833715.0299991337 Tempo=386
23:18:31.306 [Thread-95] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=9600.000000000002 Result= 833715.0183098088 Tempo=361
23:18:31.474 [Thread-103] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=10400.0 Result= 833715.0156018728 Tempo=168
23:18:31.500 [Thread-102] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=10300.0 Result= 833715.0159056119 Tempo=194
23:18:31.501 [Thread-101] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=10200.000000000002 Result= 833715.0162192386 Tempo=195
23:18:31.574 [Thread-100] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=10100.000000000002 Result= 833715.0165416299 Tempo=268
23:18:31.602 [Thread-108] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=10900.0 Result= 833715.0142032332 Tempo=294
23:18:31.631 [Thread-111] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=11200.000000000002 Result= 833715.0134524138 Tempo=308
23:18:31.649 [Thread-104] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=10500.0 Result= 833715.0153058317 Tempo=342
23:18:31.676 [Thread-107] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=10800.0 Result= 833715.0144672155 Tempo=367
23:18:31.764 [Thread-109] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=11000.0 Result= 833715.0139454977 Tempo=455
23:18:31.799 [Thread-113] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=11400.0 Result= 833715.0129841553 Tempo=475
23:18:31.837 [Thread-106] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=10700.000000000002 Result= 833715.0147384249 Tempo=529
23:18:31.850 [Thread-115] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=11600.000000000002 Result= 833715.0125409549 Tempo=508
23:18:31.865 [Thread-105] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=10600.000000000002 Result= 833715.0150185255 Tempo=557
23:18:31.870 [Thread-123] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=12400.0 Result= 833715.0109745075 Tempo=512
23:18:31.889 [Thread-110] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=11100.000000000002 Result= 833715.0136957875 Tempo=566
23:18:31.894 [Thread-116] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=11700.000000000002 Result= 833715.0123266751 Tempo=549
23:18:31.895 [Thread-124] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=12500.0 Result= 833715.0107998594 Tempo=534
23:18:31.895 [Thread-126] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=12700.000000000002 Result= 833715.0104621513 Tempo=522
23:18:31.895 [Thread-114] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=11500.0 Result= 833715.0127599626 Tempo=568
23:18:31.895 [Thread-117] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=11800.0 Result= 833715.0121186698 Tempo=552
23:18:31.897 [Thread-112] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=11300.0 Result= 833715.0132145679 Tempo=574
23:18:31.938 [Thread-135] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=13600.000000000002 Result= 833715.0091235708 Tempo=516
23:18:31.939 [Thread-133] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=13400.0 Result= 833715.0093975557 Tempo=543
23:18:31.957 [Thread-121] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=12200.000000000002 Result= 833715.0113362321 Tempo=611
23:18:31.968 [Thread-129] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=13000.0 Result= 833715.0099857154 Tempo=573
23:18:31.968 [Thread-118] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=11900.0 Result= 833715.0119154707 Tempo=625
23:18:31.974 [Thread-139] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=14000.0 Result= 833715.0086095935 Tempo=552
23:18:31.974 [Thread-143] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=14400.0 Result= 833715.0081382383 Tempo=551
23:18:31.979 [Thread-127] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=12800.0 Result= 833715.0102994196 Tempo=597
23:18:31.982 [Thread-120] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=12100.000000000002 Result= 833715.0115255872 Tempo=636
23:18:31.988 [Thread-146] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=14700.000000000002 Result= 833715.0078089661 Tempo=565
23:18:31.989 [Thread-130] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=13100.000000000002 Result= 833715.0098322112 Tempo=595
23:18:31.990 [Thread-147] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=14800.0 Result= 833715.0077037321 Tempo=566
23:18:31.991 [Thread-136] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=13700.000000000002 Result= 833715.0089900747 Tempo=569
23:18:31.992 [Thread-141] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=14200.000000000002 Result= 833715.0083692144 Tempo=569
23:18:31.998 [Thread-134] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=13500.0 Result= 833715.0092591047 Tempo=602
23:18:32.005 [Thread-132] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=13300.0 Result= 833715.0095389999 Tempo=609
